Time,Dynamic Press,Load 1,Load 2,Load 3
84616,45929,0,0,0
84717,46040,0,0,0
84818,46079,0,0,0
84921,46002,0,0,0
85022,46026,0,0,0
85124,46055,0,0,0
85226,46117,0,0,0
85327,46095,0,0,0
85429,46032,0,0,0
85531,46044,0,0,0
85633,46060,0,0,0
85734,46000,0,0,0
85836,46056,0,0,0
85938,46047,0,0,0
86039,46018,0,0,0
86141,46064,0,0,0
86243,46083,0,0,0
86344,46061,0,0,0
86446,46055,0,0,0
86548,46126,0,0,0
86649,46067,0,0,0
86751,46109,0,0,0
86853,46151,0,0,0
86955,46071,0,0,0
87056,46103,0,0,0
87158,46048,0,0,0
87260,45999,0,0,0
87361,46020,0,0,0
87463,45981,0,0,0
87565,46031,0,0,0
87666,46048,0,0,0
87769,46054,0,0,0
87870,46117,0,0,0
87971,46131,0,0,0
88074,46089,0,0,0
88175,46118,0,0,0
88276,46077,0,0,0
88379,46078,0,0,0
88480,46106,0,0,0
88582,46196,0,0,0
88684,46102,0,0,0
88785,46149,0,0,0
88887,46167,0,0,0
88989,46081,0,0,0
89091,46076,0,0,0
89192,46074,0,0,0
89294,46106,0,0,0
89396,46155,0,0,0
89497,46192,0,0,0
89600,46211,0,0,0
89701,46113,0,0,0
89802,46132,0,0,0
89905,46192,0,0,0
90006,46152,0,0,0
90107,46118,0,0,0
90209,46032,0,0,0
90311,46075,0,0,0
90413,46085,0,0,0
90514,46117,0,0,0
90616,46193,0,0,0
90718,46152,0,0,0
90819,46088,0,0,0
90921,46160,0,0,0
91023,46143,0,0,0
91124,46140,0,0,0
91227,46093,0,0,0
91328,46072,0,0,0
91429,46116,0,0,0
91532,46196,0,0,0
91633,46171,0,0,0
91735,46100,0,0,0
91837,46119,0,0,0
91938,46104,0,0,0
92040,46074,0,0,0
92142,46109,0,0,0
92243,46095,0,0,0
92345,46082,0,0,0
92447,46047,0,0,0
92549,46075,0,0,0
92650,46105,0,0,0
92752,46101,0,0,0
92854,46111,0,0,0
92955,46136,0,0,0
93058,46165,0,0,0
93159,46081,0,0,0
93260,46121,0,0,0
93363,46112,0,0,0
93464,46040,0,0,0
93565,46156,0,0,0
93668,46114,0,0,0
93769,46075,0,0,0
93871,46065,0,0,0
93972,46039,0,0,0
94074,46120,0,0,0
94176,46125,0,0,0
94277,46182,0,0,0
94380,46151,0,0,0
94481,46128,0,0,0
94582,46110,0,0,0
94685,46138,0,0,0
94786,46124,0,0,0
94887,46116,0,0,0
94990,46118,0,0,0
95091,46143,0,0,0
95193,46150,0,0,0
95295,46141,0,0,0
95396,46183,0,0,0
95498,46134,0,0,0
95600,46143,0,0,0
95702,46108,0,0,0
95803,46053,0,0,0
95905,46010,0,0,0
96007,46038,0,0,0
96108,46117,0,0,0
96210,46080,0,0,0
96312,46074,0,0,0
96413,46150,0,0,0
96516,46156,0,0,0
96617,46077,0,0,0
96718,46167,0,0,0
96821,46193,0,0,0
96922,46129,0,0,0
97024,46142,0,0,0
97126,46125,0,0,0
97227,46033,0,0,0
97329,46067,0,0,0
97431,46162,0,0,0
97532,46125,0,0,0
97634,46110,0,0,0
97736,46130,0,0,0
97838,46086,0,0,0
97939,46091,0,0,0
98040,46109,0,0,0
98143,46177,0,0,0
98244,46149,0,0,0
98345,46194,0,0,0
98448,46154,0,0,0
98549,46134,0,0,0
98651,46009,0,0,0
98753,46040,0,0,0
98854,46078,0,0,0
98956,46115,0,0,0
99058,46120,0,0,0
